Material,Sales Organization,Distribution Channel,Product hierarchy
110000001279,IN03,SD,
110000001280,IN02,SD,
110000001280,IN03,SD,
110000001281,IN02,SD,
110000001281,IN03,SD,
110000001282,IN02,SD,
110000001282,IN03,SD,
110000001283,IN02,SD,
110000001283,IN03,SD,
110000001284,IN02,SD,
110000001284,IN03,SD,
110000001285,IN02,SD,
110000001285,IN03,SD,
110000001286,IN02,SD,
110000001286,IN03,SD,
110000001287,IN02,SD,
110000001287,IN03,SD,
110000001288,IN02,SD,
110000001288,IN03,SD,
110000001289,IN02,SD,
110000001289,IN03,SD,
110000001290,IN02,SD,
110000001290,IN03,SD,
110000001291,IN02,SD,
110000001291,IN03,SD,
110000001292,IN02,SD,
110000001292,IN03,SD,
110000001293,IN02,SD,
110000001293,IN03,SD,
110000001294,IN02,SD,
110000001294,IN03,SD,
110000001295,IN02,SD,
110000001295,IN03,SD,
110000001296,IN02,SD,
110000001296,IN03,SD,
110000001297,IN02,SD,
110000001297,IN03,SD,
110000001298,IN02,SD,
110000001298,IN03,SD,
110000001299,IN02,SD,
110000001299,IN03,SD,
110000001300,IN02,SD,
110000001300,IN03,SD,
110000001301,IN02,SD,
110000001301,IN03,SD,
110000001302,IN02,SD,
110000001302,IN03,SD,
110000001303,IN02,SD,
110000001303,IN03,SD,
110000001304,IN02,SD,
110000001304,IN03,SD,
110000001305,IN02,SD,
110000001305,IN03,SD,
110000001306,IN02,SD,
110000001306,IN03,SD,
110000001307,IN02,SD,
110000001307,IN03,SD,
110000001308,IN02,SD,
110000001308,IN03,SD,
110000001309,IN02,SD,
110000001309,IN03,SD,
110000001310,IN02,SD,
110000001310,IN03,SD,
110000001311,IN02,SD,
110000001311,IN03,SD,
110000001312,IN02,SD,
110000001312,IN03,SD,
110000001313,IN02,SD,
110000001313,IN03,SD,
110000001314,IN02,SD,
110000001314,IN03,SD,
110000001315,IN02,SD,
110000001315,IN03,SD,
110000001316,IN02,SD,
110000001316,IN03,SD,
110000001317,IN02,SD,
110000001317,IN03,SD,
110000001318,IN02,SD,
110000001318,IN03,SD,
110000001319,IN02,SD,
110000001319,IN03,SD,
110000001320,IN02,SD,
110000001320,IN03,SD,
110000001321,IN02,SD,
110000001321,IN03,SD,
110000001322,IN02,SD,
110000001322,IN03,SD,
110000001323,IN02,SD,
110000001323,IN03,SD,
110000001324,IN02,SD,
110000001324,IN03,SD,
110000001325,IN02,SD,
110000001325,IN03,SD,
110000001326,IN02,SD,
110000001326,IN03,SD,
110000001327,IN02,SD,
110000001327,IN03,SD,
110000001328,IN02,SD,
110000001328,IN03,SD,
110000001329,IN02,SD,
110000001329,IN03,SD,
110000001330,IN02,SD,
110000001330,IN03,SD,
110000001331,IN02,SD,
110000001331,IN03,SD,
110000001332,IN02,SD,
110000001332,IN03,SD,
110000001333,IN02,SD,
110000001333,IN03,SD,
110000001334,IN02,SD,
110000001334,IN03,SD,
110000001335,IN02,SD,
110000001335,IN03,SD,
110000001336,IN02,SD,
110000001336,IN03,SD,
110000001337,IN02,SD,
110000001337,IN03,SD,
110000001338,IN02,SD,
110000001338,IN03,SD,
110000001339,IN02,SD,
110000001339,IN03,SD,
110000001340,IN02,SD,
110000001340,IN03,SD,
110000001341,IN02,SD,
110000001341,IN03,SD,
110000001342,IN02,SD,
110000001342,IN03,SD,
110000001343,IN02,SD,
110000001343,IN03,SD,
110000001344,IN02,SD,
110000001344,IN03,SD,
110000001345,IN02,SD,
110000001345,IN03,SD,
110000001346,IN02,SD,
110000001346,IN03,SD,
110000001347,IN02,SD,
110000001347,IN03,SD,
110000001348,IN02,SD,
110000001348,IN03,SD,
110000001349,IN02,SD,
110000001349,IN03,SD,
110000001350,IN02,SD,
110000001350,IN03,SD,
110000001351,IN02,SD,
110000001351,IN03,SD,
110000001352,IN02,SD,
110000001352,IN03,SD,
110000001353,IN02,SD,
110000001353,IN03,SD,
110000001354,IN02,SD,
110000001354,IN03,SD,
110000001355,IN02,SD,
110000001355,IN03,SD,
110000001356,IN02,SD,
110000001356,IN03,SD,
110000001357,IN02,SD,
110000001357,IN03,SD,
110000001358,IN02,SD,
110000001358,IN03,SD,
110000001359,IN02,SD,
110000001359,IN03,SD,
110000001360,IN02,SD,
110000001360,IN03,SD,
110000001361,IN02,SD,
110000001361,IN03,SD,
110000001362,IN02,SD,
110000001362,IN03,SD,
110000001363,IN02,SD,
110000001363,IN03,SD,
110000001364,IN02,SD,
110000001364,IN03,SD,
110000001365,IN02,SD,
110000001365,IN03,SD,
110000001366,IN02,SD,
110000001366,IN03,SD,
110000001367,IN02,SD,
110000001367,IN03,SD,
110000001368,IN02,SD,
110000001368,IN03,SD,
110000001369,IN02,SD,
110000001369,IN03,SD,
110000001370,IN02,SD,
110000001370,IN03,SD,
110000001371,IN02,SD,
110000001371,IN03,SD,
110000001372,IN02,SD,
110000001372,IN03,SD,
110000001373,IN02,SD,
110000001373,IN03,SD,
110000001374,IN02,SD,
110000001374,IN03,SD,
110000001375,IN02,SD,
110000001375,IN03,SD,
110000001376,IN02,SD,
110000001376,IN03,SD,
110000001377,IN02,SD,
110000001377,IN03,SD,
110000001378,IN02,SD,
110000001378,IN03,SD,
110000001379,IN02,SD,
110000001379,IN03,SD,
110000001380,IN02,SD,
110000001380,IN03,SD,
110000001381,IN02,SD,
110000001381,IN03,SD,
110000001382,IN02,SD,
110000001382,IN03,SD,
110000001383,IN02,SD,
110000001383,IN03,SD,
110000001384,IN02,SD,
110000001384,IN03,SD,
110000001385,IN02,SD,
110000001385,IN03,SD,
110000001386,IN02,SD,
110000001386,IN03,SD,
110000001387,IN02,SD,
110000001387,IN03,SD,
110000001388,IN02,SD,
110000001388,IN03,SD,
110000001389,IN02,SD,
110000001389,IN03,SD,
110000001390,IN02,SD,
110000001390,IN03,SD,
110000001391,IN02,SD,
110000001391,IN03,SD,
110000001392,IN02,SD,
110000001392,IN03,SD,
110000001393,IN02,SD,
110000001393,IN03,SD,
110000001394,IN02,SD,
110000001394,IN03,SD,
110000001395,IN02,SD,
110000001395,IN03,SD,
110000001396,IN02,SD,
110000001396,IN03,SD,
110000001397,IN02,SD,
110000001397,IN03,SD,
110000001398,IN02,SD,
110000001398,IN03,SD,
110000001399,IN02,SD,
110000001399,IN03,SD,
110000001400,IN02,SD,
110000001400,IN03,SD,
110000001401,IN02,SD,
110000001401,IN03,SD,
110000001402,IN02,SD,
110000001402,IN03,SD,
110000001403,IN02,SD,
110000001403,IN03,SD,
110000001404,IN02,SD,
110000001404,IN03,SD,
110000001405,IN02,SD,
110000001405,IN03,SD,
110000001406,IN02,SD,
110000001406,IN03,SD,
110000001407,IN02,SD,
110000001407,IN03,SD,
110000001408,IN02,SD,
110000001408,IN03,SD,
110000001409,IN02,SD,
110000001409,IN03,SD,
110000001410,IN02,SD,
110000001410,IN03,SD,
110000001411,IN02,SD,
110000001411,IN03,SD,
110000001412,IN02,SD,
110000001412,IN03,SD,
110000001413,IN02,SD,
110000001413,IN03,SD,
110000001414,IN02,SD,
110000001414,IN03,SD,
110000001415,IN02,SD,
110000001415,IN03,SD,
110000001416,IN02,SD,
110000001416,IN03,SD,
110000001417,IN02,SD,
110000001417,IN03,SD,
110000001418,IN02,SD,
110000001418,IN03,SD,
110000001419,IN02,SD,
110000001419,IN03,SD,
110000001420,IN02,SD,
110000001420,IN03,SD,
110000001421,IN02,SD,
110000001421,IN03,SD,
110000001422,IN02,SD,
110000001422,IN03,SD,
110000001423,IN02,SD,
110000001423,IN03,SD,
110000001424,IN02,SD,
110000001424,IN03,SD,
110000001425,IN02,SD,
110000001425,IN03,SD,
110000001426,IN02,SD,
110000001426,IN03,SD,
110000001427,IN02,SD,
110000001427,IN03,SD,
110000001428,IN02,SD,
110000001428,IN03,SD,
110000001429,IN02,SD,
110000001429,IN03,SD,
110000001430,IN02,SD,
110000001430,IN03,SD,
110000001431,IN02,SD,
110000001431,IN03,SD,
110000001432,IN02,SD,
110000001432,IN03,SD,
110000001433,IN02,SD,
110000001433,IN03,SD,
110000001434,IN02,SD,
110000001434,IN03,SD,
110000001435,IN02,SD,
110000001435,IN03,SD,
110000001436,IN02,SD,
110000001436,IN03,SD,
110000001437,IN02,SD,
110000001437,IN03,SD,
110000001438,IN02,SD,
110000001438,IN03,SD,
110000001439,IN02,SD,
110000001439,IN03,SD,
110000001440,IN02,SD,
110000001440,IN03,SD,
110000001441,IN02,SD,
110000001441,IN03,SD,
110000001442,IN02,SD,
110000001442,IN03,SD,
110000001443,IN02,SD,
110000001443,IN03,SD,
110000001444,IN02,SD,
110000001444,IN03,SD,
110000001445,IN02,SD,
110000001445,IN03,SD,
110000001446,IN02,SD,
110000001446,IN03,SD,
110000001447,IN02,SD,
110000001447,IN03,SD,
110000001448,IN02,SD,
110000001448,IN03,SD,
110000001449,IN02,SD,
110000001449,IN03,SD,
110000001450,IN02,SD,
110000001450,IN03,SD,
110000001451,IN02,SD,
110000001451,IN03,SD,
110000001452,IN02,SD,
110000001452,IN03,SD,
110000001453,IN02,SD,
110000001453,IN03,SD,
110000001454,IN02,SD,
110000001454,IN03,SD,
110000001455,IN02,SD,
110000001455,IN03,SD,
110000001456,IN02,SD,
110000001456,IN03,SD,
110000001457,IN02,SD,
110000001457,IN03,SD,
110000001458,IN02,SD,
110000001458,IN03,SD,
110000001459,IN02,SD,
110000001459,IN03,SD,
110000001460,IN02,SD,
110000001460,IN03,SD,
110000001461,IN02,SD,
110000001461,IN03,SD,
110000001462,IN02,SD,
110000001462,IN03,SD,
110000001463,IN02,SD,
110000001463,IN03,SD,
110000001464,IN02,SD,
110000001464,IN03,SD,
110000001465,IN02,SD,
110000001465,IN03,SD,
110000001466,IN02,SD,
110000001466,IN03,SD,
110000001467,IN02,SD,
110000001467,IN03,SD,
110000001468,IN02,SD,
110000001468,IN03,SD,
110000001469,IN02,SD,
110000001469,IN03,SD,
110000001470,IN02,SD,
110000001470,IN03,SD,
110000001471,IN02,SD,
110000001471,IN03,SD,
110000001472,IN02,SD,
110000001472,IN03,SD,
110000001473,IN02,SD,
110000001473,IN03,SD,
110000001474,IN02,SD,
110000001474,IN03,SD,
110000001475,IN02,SD,
110000001475,IN03,SD,
110000001476,IN02,SD,
110000001476,IN03,SD,
110000001477,IN02,SD,
110000001477,IN03,SD,
110000001478,IN02,SD,
110000001478,IN03,SD,
110000001479,IN02,SD,
110000001479,IN03,SD,
110000001480,IN02,SD,
110000001480,IN03,SD,
110000001481,IN02,SD,
110000001481,IN03,SD,
110000001482,IN02,SD,
110000001482,IN03,SD,
110000001483,IN02,SD,
110000001483,IN03,SD,
110000001484,IN02,SD,
110000001484,IN03,SD,
110000001485,IN02,SD,
110000001485,IN03,SD,
110000001486,IN02,SD,
110000001486,IN03,SD,
110000001487,IN02,SD,
110000001487,IN03,SD,
110000001488,IN02,SD,
110000001488,IN03,SD,
110000001489,IN02,SD,
110000001489,IN03,SD,
110000001490,IN02,SD,
110000001490,IN03,SD,
110000001491,IN02,SD,
110000001491,IN03,SD,
110000001492,IN02,SD,
110000001492,IN03,SD,
110000001493,IN02,SD,
110000001493,IN03,SD,
110000001494,IN02,SD,
110000001494,IN03,SD,
110000001495,IN02,SD,
110000001495,IN03,SD,
110000001496,IN02,SD,
110000001496,IN03,SD,
110000001497,IN02,SD,
110000001497,IN03,SD,
110000001498,IN02,SD,
110000001498,IN03,SD,
110000001499,IN02,SD,
110000001499,IN03,SD,
110000001500,IN02,SD,
110000001500,IN03,SD,
110000001501,IN02,SD,
110000001501,IN03,SD,
110000001502,IN02,SD,
110000001502,IN03,SD,
110000001503,IN02,SD,
110000001503,IN03,SD,
110000001504,IN02,SD,
110000001504,IN03,SD,
110000001505,IN02,SD,
110000001505,IN03,SD,
110000001506,IN02,SD,
110000001506,IN03,SD,
110000001507,IN02,SD,
110000001507,IN03,SD,
110000001508,IN02,SD,
110000001508,IN03,SD,
110000001509,IN02,SD,
110000001509,IN03,SD,
110000001510,IN02,SD,
110000001510,IN03,SD,
110000001511,IN02,SD,
110000001511,IN03,SD,
110000001512,IN02,SD,
110000001512,IN03,SD,
110000001513,IN02,SD,
110000001513,IN03,SD,
110000001514,IN02,SD,
110000001514,IN03,SD,
110000001515,IN02,SD,
110000001515,IN03,SD,
110000001516,IN02,SD,
110000001516,IN03,SD,
110000001517,IN02,SD,
110000001517,IN03,SD,
110000001518,IN02,SD,
110000001518,IN03,SD,
110000001519,IN02,SD,
110000001519,IN03,SD,
110000001520,IN02,SD,
110000001520,IN03,SD,
110000001521,IN02,SD,
110000001521,IN03,SD,
110000001522,IN02,SD,
110000001522,IN03,SD,
110000001523,IN02,SD,
110000001523,IN03,SD,
110000001524,IN02,SD,
110000001524,IN03,SD,
110000001525,IN02,SD,
110000001525,IN03,SD,
110000001526,IN02,SD,
110000001526,IN03,SD,
110000001527,IN02,SD,
110000001527,IN03,SD,
110000001528,IN02,SD,
110000001528,IN03,SD,
110000001529,IN02,SD,
110000001529,IN03,SD,
110000001530,IN02,SD,
110000001530,IN03,SD,
110000001531,IN02,SD,
110000001531,IN03,SD,
110000001532,IN02,SD,
110000001532,IN03,SD,
110000001533,IN02,SD,
110000001533,IN03,SD,
110000001534,IN02,SD,
110000001534,IN03,SD,
110000001535,IN02,SD,
110000001535,IN03,SD,
110000001536,IN02,SD,
110000001536,IN03,SD,
110000001537,IN02,SD,
110000001537,IN03,SD,
110000001538,IN02,SD,
110000001538,IN03,SD,
110000001539,IN02,SD,
110000001539,IN03,SD,
110000001540,IN02,SD,
110000001540,IN03,SD,
110000001541,IN02,SD,
110000001541,IN03,SD,
110000001542,IN02,SD,
110000001542,IN03,SD,
110000001543,IN02,SD,
110000001543,IN03,SD,
110000001544,IN02,SD,
110000001544,IN03,SD,
110000001545,IN02,SD,
110000001545,IN03,SD,
110000001546,IN02,SD,
110000001546,IN03,SD,
110000001547,IN02,SD,
110000001547,IN03,SD,
110000001548,IN02,SD,
110000001548,IN03,SD,
110000001549,IN02,SD,
110000001549,IN03,SD,
110000001550,IN02,SD,
110000001550,IN03,SD,
110000001551,IN02,SD,
110000001551,IN03,SD,
110000001552,IN02,SD,
110000001552,IN03,SD,
110000001553,IN02,SD,
110000001553,IN03,SD,
110000001554,IN02,SD,
110000001554,IN03,SD,
110000001555,IN02,SD,
110000001555,IN03,SD,
110000001556,IN02,SD,
110000001556,IN03,SD,
110000001557,IN02,SD,
110000001557,IN03,SD,
110000001558,IN02,SD,
110000001558,IN03,SD,
110000001559,IN02,SD,
110000001559,IN03,SD,
110000001560,IN02,SD,
110000001560,IN03,SD,
110000001561,IN02,SD,
110000001561,IN03,SD,
110000001562,IN02,SD,
110000001562,IN03,SD,
110000001563,IN02,SD,
110000001563,IN03,SD,
110000001564,IN02,SD,
110000001564,IN03,SD,
110000001565,IN02,SD,
110000001565,IN03,SD,
110000001566,IN02,SD,
110000001566,IN03,SD,
110000001567,IN02,SD,
110000001567,IN03,SD,
110000001568,IN02,SD,
110000001568,IN03,SD,
110000001569,IN02,SD,
110000001569,IN03,SD,
110000001570,IN02,SD,
110000001570,IN03,SD,
110000001571,IN02,SD,
110000001571,IN03,SD,
110000001572,IN02,SD,
110000001572,IN03,SD,
110000001573,IN02,SD,
110000001573,IN03,SD,
110000001574,IN02,SD,
110000001574,IN03,SD,
110000001575,IN02,SD,
110000001575,IN03,SD,
110000001576,IN02,SD,
110000001576,IN03,SD,
110000001577,IN02,SD,
110000001577,IN03,SD,
110000001578,IN02,SD,
110000001578,IN03,SD,
110000001579,IN02,SD,
110000001579,IN03,SD,
110000001580,IN02,SD,
110000001580,IN03,SD,
110000001581,IN02,SD,
110000001581,IN03,SD,
110000001582,IN02,SD,
110000001582,IN03,SD,
110000001583,IN02,SD,
110000001583,IN03,SD,
110000001584,IN02,SD,
110000001584,IN03,SD,
110000001585,IN02,SD,
110000001585,IN03,SD,
110000001586,IN02,SD,
110000001586,IN03,SD,
110000001587,IN02,SD,
110000001587,IN03,SD,
110000001588,IN02,SD,
110000001588,IN03,SD,
110000001589,IN02,SD,
110000001589,IN03,SD,
110000001590,IN02,SD,
110000001590,IN03,SD,
110000001591,IN02,SD,
110000001591,IN03,SD,
110000001592,IN02,SD,
110000001592,IN03,SD,
110000001593,IN02,SD,
110000001593,IN03,SD,
110000001594,IN02,SD,
110000001594,IN03,SD,
110000001595,IN02,SD,
110000001595,IN03,SD,
110000001596,IN02,SD,
110000001596,IN03,SD,
110000001597,IN02,SD,
110000001597,IN03,SD,
110000001598,IN02,SD,
110000001598,IN03,SD,
110000001599,IN02,SD,
110000001599,IN03,SD,
110000001600,IN02,SD,
110000001600,IN03,SD,
110000001601,IN02,SD,
110000001601,IN03,SD,
110000001602,IN02,SD,
110000001602,IN03,SD,
110000001603,IN02,SD,
110000001603,IN03,SD,
110000001604,IN02,SD,
110000001604,IN03,SD,
110000001605,IN02,SD,
110000001605,IN03,SD,
110000001606,IN02,SD,
110000001606,IN03,SD,
110000001607,IN02,SD,
110000001607,IN03,SD,
110000001608,IN02,SD,
110000001608,IN03,SD,
110000001609,IN02,SD,
110000001609,IN03,SD,
110000001610,IN02,SD,
110000001610,IN03,SD,
110000001611,IN02,SD,
110000001611,IN03,SD,
110000001612,IN02,SD,
110000001612,IN03,SD,
110000001613,IN02,SD,
110000001613,IN03,SD,
110000001614,IN02,SD,
110000001614,IN03,SD,
110000001615,IN02,SD,
110000001615,IN03,SD,
110000001616,IN02,SD,
110000001616,IN03,SD,
110000001617,IN02,SD,
110000001617,IN03,SD,
110000001618,IN02,SD,
110000001618,IN03,SD,
110000001619,IN02,SD,
110000001619,IN03,SD,
110000001620,IN02,SD,
110000001620,IN03,SD,
110000001621,IN02,SD,
110000001621,IN03,SD,
110000001622,IN02,SD,
110000001622,IN03,SD,
110000001623,IN02,SD,
110000001623,IN03,SD,
110000001624,IN02,SD,
110000001624,IN03,SD,
110000001625,IN02,SD,
110000001625,IN03,SD,
110000001626,IN02,SD,
110000001626,IN03,SD,
110000001627,IN02,SD,
110000001627,IN03,SD,
110000001628,IN02,SD,
110000001628,IN03,SD,
110000001629,IN02,SD,
110000001629,IN03,SD,
110000001630,IN02,SD,
110000001630,IN03,SD,
110000001631,IN02,SD,
110000001631,IN03,SD,
110000001632,IN02,SD,
110000001632,IN03,SD,
110000001633,IN02,SD,
110000001633,IN03,SD,
110000001634,IN02,SD,
110000001634,IN03,SD,
110000001635,IN02,SD,
110000001635,IN03,SD,
110000001636,IN02,SD,
110000001636,IN03,SD,
110000001637,IN02,SD,
110000001637,IN03,SD,
110000001638,IN02,SD,
110000001638,IN03,SD,
110000001639,IN02,SD,
110000001639,IN03,SD,
110000001640,IN02,SD,
110000001640,IN03,SD,
110000001641,IN02,SD,
110000001641,IN03,SD,
110000001642,IN02,SD,
110000001642,IN03,SD,
110000001643,IN02,SD,
110000001643,IN03,SD,
110000001644,IN02,SD,
110000001644,IN03,SD,
110000001645,IN02,SD,
110000001645,IN03,SD,
110000001646,IN02,SD,
110000001646,IN03,SD,
110000001647,IN02,SD,
110000001647,IN03,SD,
110000001648,IN02,SD,
110000001648,IN03,SD,
110000001649,IN02,SD,
110000001649,IN03,SD,
110000001650,IN02,SD,
110000001650,IN03,SD,
110000001651,IN02,SD,
110000001651,IN03,SD,
110000001652,IN02,SD,
110000001652,IN03,SD,
110000001653,IN02,SD,
110000001653,IN03,SD,
110000001654,IN02,SD,
110000001654,IN03,SD,
110000001655,IN02,SD,
110000001655,IN03,SD,
110000001656,IN02,SD,
110000001656,IN03,SD,
110000001657,IN02,SD,
110000001657,IN03,SD,
110000001658,IN02,SD,
110000001658,IN03,SD,
110000001659,IN02,SD,
110000001659,IN03,SD,
110000001660,IN02,SD,
110000001660,IN03,SD,
110000001661,IN02,SD,
110000001661,IN03,SD,
110000001662,IN02,SD,
110000001662,IN03,SD,
110000001663,IN02,SD,
110000001663,IN03,SD,
110000001664,IN02,SD,
110000001664,IN03,SD,
110000001665,IN02,SD,
110000001665,IN03,SD,
110000001666,IN02,SD,
110000001666,IN03,SD,
110000001667,IN02,SD,
110000001667,IN03,SD,
110000001668,IN02,SD,
110000001668,IN03,SD,
110000001669,IN02,SD,
110000001669,IN03,SD,
110000001670,IN02,SD,
110000001670,IN03,SD,
110000001671,IN02,SD,
110000001671,IN03,SD,
110000001672,IN02,SD,
110000001672,IN03,SD,
110000001673,IN02,SD,
110000001673,IN03,SD,
110000001674,IN02,SD,
110000001674,IN03,SD,
110000001675,IN02,SD,
110000001675,IN03,SD,
110000001676,IN02,SD,
110000001676,IN03,SD,
110000001677,IN02,SD,
110000001677,IN03,SD,
110000001678,IN02,SD,
110000001678,IN03,SD,
110000001679,IN02,SD,
110000001679,IN03,SD,
110000001680,IN02,SD,
110000001680,IN03,SD,
110000001681,IN02,SD,
110000001681,IN03,SD,
110000001682,IN02,SD,
110000001682,IN03,SD,
110000001683,IN02,SD,
110000001683,IN03,SD,
110000001684,IN02,SD,
110000001684,IN03,SD,
110000001685,IN02,SD,
110000001685,IN03,SD,
110000001686,IN02,SD,
110000001686,IN03,SD,
110000001687,IN02,SD,
110000001687,IN03,SD,
110000001688,IN02,SD,
110000001688,IN03,SD,
110000001689,IN02,SD,
110000001689,IN03,SD,
110000001690,IN02,SD,
110000001690,IN03,SD,
110000001691,IN02,SD,
110000001691,IN03,SD,
110000001692,IN02,SD,
110000001692,IN03,SD,
110000001693,IN02,SD,
110000001693,IN03,SD,
110000001694,IN02,SD,
110000001694,IN03,SD,
110000001695,IN02,SD,
110000001695,IN03,SD,
110000001696,IN02,SD,
110000001696,IN03,SD,
110000001697,IN02,SD,
110000001697,IN03,SD,
110000001698,IN02,SD,
110000001698,IN03,SD,
110000001699,IN02,SD,
110000001699,IN03,SD,
110000001700,IN02,SD,
110000001700,IN03,SD,
110000001701,IN02,SD,
110000001701,IN03,SD,
110000001702,IN02,SD,
110000001702,IN03,SD,
110000001703,IN02,SD,
110000001703,IN03,SD,
110000001704,IN02,SD,
110000001704,IN03,SD,
110000001705,IN02,SD,
110000001705,IN03,SD,
110000001706,IN02,SD,
110000001706,IN03,SD,
110000001707,IN02,SD,
110000001707,IN03,SD,
110000001708,IN02,SD,
110000001708,IN03,SD,
110000001709,IN02,SD,
110000001709,IN03,SD,
110000001710,IN02,SD,
110000001710,IN03,SD,
110000001711,IN02,SD,
110000001711,IN03,SD,
110000001712,IN02,SD,
110000001712,IN03,SD,
110000001713,IN02,SD,
110000001713,IN03,SD,
110000001714,IN02,SD,
110000001714,IN03,SD,
110000001715,IN02,SD,
110000001715,IN03,SD,
110000001716,IN02,SD,
110000001716,IN03,SD,
110000001717,IN02,SD,
110000001717,IN03,SD,
110000001718,IN02,SD,
110000001718,IN03,SD,
110000001719,IN02,SD,
110000001719,IN03,SD,
110000001720,IN02,SD,
110000001720,IN03,SD,
110000001721,IN02,SD,
110000001721,IN03,SD,
110000001722,IN02,SD,
110000001722,IN03,SD,
110000001723,IN02,SD,
110000001723,IN03,SD,
110000001724,IN02,SD,
110000001724,IN03,SD,
110000001725,IN02,SD,
110000001725,IN03,SD,
110000001726,IN02,SD,
110000001726,IN03,SD,
110000001727,IN02,SD,
110000001727,IN03,SD,
110000001728,IN02,SD,
110000001728,IN03,SD,
110000001729,IN02,SD,
110000001729,IN03,SD,
110000001730,IN02,SD,
110000001730,IN03,SD,
110000001731,IN02,SD,
110000001731,IN03,SD,
110000001732,IN02,SD,
110000001732,IN03,SD,
110000001733,IN02,SD,
110000001733,IN03,SD,
110000001734,IN02,SD,
110000001734,IN03,SD,
110000001735,IN02,SD,
110000001735,IN03,SD,
110000001736,IN02,SD,
110000001736,IN03,SD,
110000001737,IN02,SD,
110000001737,IN03,SD,
110000001738,IN02,SD,
110000001738,IN03,SD,
110000001739,IN02,SD,
110000001739,IN03,SD,
110000001740,IN02,SD,
110000001740,IN03,SD,
110000001741,IN02,SD,
110000001741,IN03,SD,
110000001742,IN02,SD,
110000001742,IN03,SD,
110000001743,IN02,SD,
110000001743,IN03,SD,
110000001744,IN02,SD,
110000001744,IN03,SD,
110000001745,IN02,SD,
110000001745,IN03,SD,
110000001746,IN02,SD,
110000001746,IN03,SD,
110000001747,IN02,SD,
110000001747,IN03,SD,
110000001748,IN02,SD,
110000001748,IN03,SD,
110000001749,IN02,SD,
110000001749,IN03,SD,
110000001750,IN02,SD,
110000001750,IN03,SD,
110000001751,IN02,SD,
110000001751,IN03,SD,
110000001752,IN02,SD,
110000001752,IN03,SD,
110000001753,IN02,SD,
110000001753,IN03,SD,
110000001754,IN02,SD,
110000001754,IN03,SD,
110000001755,IN02,SD,
110000001755,IN03,SD,
110000001756,IN02,SD,
110000001756,IN03,SD,
110000001757,IN02,SD,
110000001757,IN03,SD,
110000001758,IN02,SD,
110000001758,IN03,SD,
110000001759,IN02,SD,
110000001759,IN03,SD,
110000001760,IN02,SD,
110000001760,IN03,SD,
110000001761,IN02,SD,
110000001761,IN03,SD,
110000001762,IN02,SD,
110000001762,IN03,SD,
110000001763,IN02,SD,
110000001763,IN03,SD,
110000001764,IN02,SD,
110000001764,IN03,SD,
110000001765,IN02,SD,
110000001765,IN03,SD,
110000001766,IN02,SD,
110000001766,IN03,SD,
110000001767,IN02,SD,
110000001767,IN03,SD,
110000001768,IN02,SD,
110000001768,IN03,SD,
110000001769,IN02,SD,
110000001769,IN03,SD,
110000001770,IN02,SD,
110000001770,IN03,SD,
110000001771,IN02,SD,
110000001771,IN03,SD,
110000001772,IN02,SD,
110000001772,IN03,SD,
110000001773,IN02,SD,
110000001773,IN03,SD,
110000001774,IN02,SD,
110000001774,IN03,SD,
110000001775,IN02,SD,
110000001775,IN03,SD,
110000001776,IN02,SD,
110000001776,IN03,SD,
110000001777,IN02,SD,
110000001777,IN03,SD,
110000001778,IN02,SD,
110000001778,IN03,SD,
110000001779,IN02,SD,
110000001779,IN03,SD,
110000001780,IN02,SD,
110000001780,IN03,SD,
110000001781,IN02,SD,
110000001781,IN03,SD,
110000001782,IN02,SD,
110000001782,IN03,SD,
110000001783,IN02,SD,
110000001783,IN03,SD,
110000001784,IN02,SD,
110000001784,IN03,SD,
110000001785,IN02,SD,
110000001785,IN03,SD,
110000001786,IN02,SD,
110000001786,IN03,SD,
110000001787,IN02,SD,
110000001787,IN03,SD,
110000001788,IN02,SD,
110000001788,IN03,SD,
110000001789,IN02,SD,
110000001789,IN03,SD,
110000001790,IN02,SD,
110000001790,IN03,SD,
110000001791,IN02,SD,
110000001791,IN03,SD,
110000001792,IN02,SD,
110000001792,IN03,SD,
110000001793,IN02,SD,
110000001793,IN03,SD,
110000001794,IN02,SD,
110000001794,IN03,SD,
110000001795,IN02,SD,
110000001795,IN03,SD,
110000001796,IN02,SD,
110000001796,IN03,SD,
110000001797,IN02,SD,
110000001797,IN03,SD,
110000001798,IN02,SD,
110000001798,IN03,SD,
110000001799,IN02,SD,
110000001799,IN03,SD,
110000001800,IN02,SD,
110000001800,IN03,SD,
110000001801,IN02,SD,
110000001801,IN03,SD,
110000001802,IN02,SD,
110000001802,IN03,SD,
110000001803,IN02,SD,
110000001803,IN03,SD,
110000001804,IN02,SD,
110000001804,IN03,SD,
110000001805,IN02,SD,
110000001805,IN03,SD,
110000001806,IN02,SD,
110000001806,IN03,SD,
110000001807,IN02,SD,
110000001807,IN03,SD,
110000001808,IN02,SD,
110000001808,IN03,SD,
110000001809,IN02,SD,
110000001809,IN03,SD,
110000001810,IN02,SD,
110000001810,IN03,SD,
110000001811,IN02,SD,
110000001811,IN03,SD,
110000001812,IN02,SD,
110000001812,IN03,SD,
110000001813,IN02,SD,
110000001813,IN03,SD,
110000001814,IN02,SD,
110000001814,IN03,SD,
110000001815,IN02,SD,
110000001815,IN03,SD,
110000001816,IN02,SD,
