Material,Material Description
600104002054,Busbar Sleeve
600104002056,POLYURETHANE TUBE PUN-16×2.5-BL
600104002057,LAMP-200W
600104002058,"POLYURETHANE TUBE PAN-MF 6X1-BLACK,FESTO"
600104002059,LAMP-PL 36W
600104002060,NITRILE  TUBE 1/2 X 13 MM THK
600104009359,NITRILE  TUBE 1/4 X 13 MM THK
600105002061,"POLYURETHANE TUBE PAN-MF 8X1-BLACK,FESTO"
600106002067,LAMP(NIGHT)
600106002071,M.S. BUSH-3
600106002072,"DRILLING CHUCK,KEYTYPE 1.5-13 MM"
600106002073,63 x 40 Bush(Thread)
600106002074,CABLE 25 SQ.MM X 3.5 CORE AL ARMOURED
600106002075,TANDAM BUSH P/N- RE44925
600106009102,G.M.BUSH for KOSM-225 
600106009113,BUSHING HALF P/N- MH11451
600107002078,LIGHTING ARRESTER 30 KV
600107002081,C.S PLUG - 1 1/2
600107009103,MCB SP 20AMP
600107009114,WEAR PLUG ASSLY P/N- MH504562100
600108002086,Wooden Gully
600108002090,G.I REDUCER-2 X 1 1/2
600108002091,Reducer QS-8-6
600108002092,REDUCER PUSH-IN QS-10-8
600108002096,CUTTING WHEEL 5
600108002098,Reducer Push in connector QS-10-6
600108002102,UPVC Reducer  40 to 25 mm  Plumbing
600108002106,UPVC Reducer 50 mm x 40 mm  plumbing
600108002107,MCB 32AMP DP
600108002108,MS REDCUERSTRAIGHT 1 THREADX3/4 NIPPLE
600108002111,UPVC Reducer Bush50 mm x 32 mm  plumbing
600108002112,PVC REDUCER  1½ X ¾
600108002113,STAMP
600108002114,MS REDUCER THREADED  2''x1''
600109002115,"HT HEX NUT HT M24 X 3P, MH49942822"
600109002123,GASKET SHEET 1MM
600109002124,"MPCB,3PH 440VAC,RANGE:2.5-4A"
600109002127,"OLTC TANK TOP,BOTTOM & SIDE GASKET"
600109002130,"GASKET SHEET,0.5 MM"
600109002131,Champion Gasket(1M X 3mm thk)
600109002132,Acetone LR Grade
600109002133,"VOLUTE GASKET,PUMPMODELNO1510-3BC-5.4H.P"
600109002134,PENDANT HOLDER
600109002135,Gasket (Water Pump)
600109002136,Cotton Gloves
600109002137,NEOPRENE  GASKET -1000mmX1000mmX 6mm
600109009062,NEOPRENE  GASKET -1000mmX1000mmX 8mm
600110002138,"GASKET CYLINDER HEAD , MHS4004946"
600110002139,Pushing Connector Elbow (QSL 1/4-8)
600110002141,G.I UNION 2 1/2
600110002146,Sticker(Q.C Pass Without Vikram Logo)
600110002150,PVC Union -1?
600110002151,Locking Ring 15(Part No. 7.343-015.0)
600110002153,UPVC Union  65mm  Plumbing
600110002154,UPVC Union 50 mm plumbing
600110002155,UPVC Union 15 mm plumbing
600110002156,PVC SADDLE-25MM
600111002157,PVC UNION 2½
600111002158,G.I SOCKET-1
600111002159,G.I REDUCING SOCKET 2X1
600111002161,QD BUSHING P94-2102-3 CI M
600111002168,G.I SOCKET- 1/2
600111002169,G.I. SOCKET-2
600111002170,G.I. 4 WAY SOCKET-1/2
600111002171,BUSHING HALF MAST FRAME TRUNP/N- MH18298
600111002176,G.I. SOCKET-1 1/2
600111002177,M.S. PLUG-4
600111002178,PVC SOCKET–40 MM
600111002179,WEAR PLUGREPBYMH504562100P/N-MH504562101
600111002180,UPVC Socket 32 mm  Plumbing
600111002181,UPVC Socket 40 mm Plumbing
600111002182,UPVC Socket 65 mm  Plumbing
600111002187,Reducer QS-12-8
600111002188,UPVC SOCKET  50 mm plumbing
600111002189,UPVC Reducer  40 to 25 mm  Plumbing
600111002192,UPVC SOCKET 20 MM Plumbing
600111002193,Stick Pad-Medium(50X75)mm
600111009223,MS SOCKET  THREADED 3/8
600112002194,(558350462-00) Float kit E4545-6050
600114008109,G.I HOOK1/2X1 1/2
600114009127,Aluminium Lug 240 Sq. mm.
600114009243,Rubber Below coupling 25X32X30 Glue Pump
600114009244,Aluminium Ladder
600117002211,"IN-LINE FCV, SMC, AS3002F - 12"
600117002215,"HOSE ASSEMBLY,P/N-0574991826,GAE22 COMP."
600117002217,CLAMP(JUBILEE) - 4
600117002218,Cable Clamp for J/B (Model :COYO - CM04)
600117002219,C CLAMP 6
600117002220,Nut bolt with washer-M10 X 100 (GI)
600117002222,G2G End Clamp 200
600117009061,G2G End Clamp 80
600117009342,"CLAMP ,MH993728160"
600117009384,PENDANT HOLDER
600117009385,G2G End Clamp 130
600117009386,G2G Middle Clamp 80
600117009387,G2G Middle Clamp 130
600118002226,NEOPRENE  GASKET -1000mmX1000mmX 8mm
600120002231,White Zink
600121002233,Pushing Connector Elbow (QSL 1/4-8)
600121002235,BALL VALVE 1 1/2
600121002242,Sticker(Q.C Pass Without Vikram Logo)
600121002245,BALL VALVE (BRASS) 1
600121002246,UPVC Ball Valve  25mm  Plumbing
600121002247,UPVC Ball Valve  32mm Plumbing
600121002248,UPVC Union 50 mm plumbing
600121002251,UPVC Ball Valve 65mmPlumbing
600121002252,PVC SADDLE-25MM
600121002253,UPVC BALL VALVE 50 MM Plumbing
600121002254,G.I. ELBOW-4
600121002255,PVC BALL VALVE  1½
600121009072,MS BALL VALL SIZE -1
600123002258,"7/16 DIA BALL , MH015133900"
600124002259,"SEAL WASHER, PART NO. 0661 1000 39"
600125002260,Pillar Cock
600126002261,Pushin L Fittings ConnectorQSL-R1/8-8-6W
600130002268,PAINT BRUSH-3
600130002269,Gate Pass Card(Temporary)
600131002273,Gravels 1” X 1/2”  softner Plant
600132002275,"GI ROPE , DIA - 12MM"
600132002277,JUMBLE CLAMP-1'
600132002278,MCB SP 16Amp
600132002279,"Jubilee Clamp 2"""
600132002280,JUBILEE CLAMP ¾
600134002284,"JUBILEE CLAMP 2"" VOLTAS 3T (U) HOSE"
600134002285,UPVC SOCKET 15 mm plumbing
600134002286,GI NIPPLE ¾ X 4
600134002287,MS NIPPLE THREADED 1X  LENGTH 5
600135002288,MS NIPPLE THREADED 3/8 X LENGTH 5
600136002302,Stick Pad-Medium(50X75)mm
600136002303,"T SHIRT(VIKRAM LOGO),SIZE-40"
600136002304,Motor Coupling Rubber for Chiller Plant
600136002307,Rain Coat
600136002309,"IN-LINE FCV, SMC, AS3002F - 10"
600136002313,Umbrella
600136002314,"T SHIRT(VIKRAM LOGO),SIZE-42"
600136002315,"T SHIRT(VIKRAM LOGO),SIZE-44"
600136002316,"HOSE ASSEMBLY,P/N-0574991826,GAE22 COMP."
600136002334,Telephone Receiver(GSM Interface Free)
600136002335,C CLAMP 4
600136002336,Utility Maintenance log book (fab -II)
600136002342,LUGS - COPPER FLAT LONG BARREL 95 SQMM
600136008569,KEY (553210006-00)
600136009046,Solar Cap
600136009065,"BRAKE DRUM DRIVE AXLE GX , MH02000024"
600136009068,Cotton Gloves
600136009069,"CLUTCH COVER ASSY , MH785380801"
600136009070,LAMP-200W
600136009071,"END PIECE , MH508591400"
600136009073,LAMP-PL 36W
600136009100,"PIN , MH015835800"
600136009106,"Break for cylinder DSBC-32,Festo,178456"
600136009107,LEAF CHAIN PIN P/N- MH870002974
600136009108,Locking Ring 15(Part No. 7.343-015.0)
600136009112,SPLIT PIN P/N- MH992826140
600136009115,SNAP RING P/N- MH064426400
600136009119,SNAP RING P/N- MH060313900
600136009120,UPVC Union 50 mm plumbing
600136009134,KIT MASTER CYLINDER  P/N- MH870002609
600137002343,Solar Sprinkler System
600137002344,Rubber Sheet(For Assembler)
600137002345,UPVC BALL VALVE 20 MM Plumbing
600137002346,"FAB537-0120,WINDOW LAMP, SIZE B"
600137002347,MS BALL VALL SIZE -1
600137002348,"OTS6544,LAMP HALOGEN10.08"
600137002349,"SEAL WASHER, PART NO. 0661 1000 39"
600137002350,"FAB666-0183,SHEAR PIN"
600137002351,"FAB416-0360,PIN VACCUM HAND, SIZE B"
600137002352,"FAB416-0147,STRESS BEND ELASTOMER SIZE B"
600137002353,Gravels 1 ½” X 1”  softener Plant
600137002354,"OTS9212,SPRNG EXTRSN MUSIC WIR3/8ODX.58"
600137002355,"END PIECE , MH508592400"
600137002356,"OTS6143,RETAINER CLIP EXT"
600137002357,"END PIECE , MH508592400"
600137002358,"OTS7509,RETAINER RING 1 SHAFT"
600137002359,"OTS6171,CAM FOLLOWER"
600137002360,"OTS6643,SUCTION CUP F-15"
600137002361,"OTS6171,CAM FOLLOWER"
600137002362,"OTS10585,COUPLING SPIDER 12MMX3/8"
600137002363,"OTS6171,CAM FOLLOWER"
600137002364,"OTS7326,COMPSPRING-.18ODX.024X.625LG,MUS"
600137002365,"OTS6171,CAM FOLLOWER"
600137002366,"OTS4784,COMPRESSION SPRING"
600137002367,"OTS6136,SPRING EXT..019WX.203ODX1/2 LG"
600137002368,"FABAB619-0112,FLAG MOUNT,SENSOR SIZE B"
600137002369,"OTS6136,SPRING EXT..019WX.203ODX1/2 LG"
600137002370,"OTS7758,SWITCH REED"
600137002371,"OTS5948,BALL BEARING"
600137002372,"OTS8716,CONNECTOR RIGHT ANGLE FEMALE"
600137002373,"OTS5948,BALL BEARING"
600137002374,"OTS10076,SENSOR INDUCTIVE"
600137002375,"OTS7852,SENSOR HALL EFFECT QD0HSP-006"
600137002376,"FAB583-0118,CONVEYOR BELT1.25WIDE SIZE C"
600137002377,"OTS7852,SENSOR HALL EFFECT QD0HSP-006"
600137002378,"OTS6730AIR CYLINDERS/16 BORE,1/2STROKE"
600137002379,"OTS7852,SENSOR HALL EFFECT QD0HSP-006"
600137002380,"OTS10584,COUPLING HUB 5/8"
600137002381,"OTS7852,SENSOR HALL EFFECT QD0HSP-006"
600137002382,"OTS10597,SPLINE SHAFT & BLOCK"
600137002383,"OTS5958,7/16BORE-BLOCK MNTD PNEU CYLNDR"
600137002384,"OTS7596,HALL EFFECT SWITCH"
600137002385,"OTS5958,7/16BORE-BLOCK MNTD PNEU CYLNDR"
600137002386,"OTS8737,SENSOR INDUCTIVE, EUROFAST, PNP"
600137002387,"OTS5958,7/16BORE-BLOCK MNTD PNEU CYLNDR"
600137002388,"OTSSENSOR PNP INDUCTIVE,ROBOHAND"
600137002389,"OTS5958,7/16BORE-BLOCK MNTD PNEU CYLNDR"
600137002390,"OTS 8140,AMPLIFIER,FIBER OPTIC"
600137002391,"OTS 10056,THRU BEAM DETECTOR"
600137002392,"OTS 8247,SENSOR AMPLIFIER/MASTER"
600137002393,"OTS 10056,THRU BEAM DETECTOR"
600137002394,"OTS 6116,BUMPER,RUBBER"
600137002395,"OTS 10056,THRU BEAM DETECTOR"
600137002396,"FAB 453-0131,PIVOT BRACKET"
600137002397,"OTS 10056,THRU BEAM DETECTOR"
600137002398,"OTS 7819,ELE SENSOR-MINI INDUCTIVE(QD)"
600137002399,"OTS 10744,TAPE,TEFLON COATED"
600137002400,"FAB 444-0006,SUB END EFECTR CEL LDERSZ-C"
600137002401,"OTS 10744,TAPE,TEFLON COATED"
600137002402,"FAB 416-0123,BEARING,LOWER DIE, SIZE B"
600137002403,"FAB 416-0111RLER,DRIV,SIZ B MADE416-0532"
600137002404,"OTS 7053,4CHANEL DIGITLO/P SINKING10-32V"
600137002405,"FAB 416-0111RLER,DRIV,SIZ B MADE416-0532"
600137002406,"OTS 5917BRIN,SEALD.625BORE-1.37ODX.343WD"
600137002407,"OTS 7574,BEARING5/8IDX1 5/8OD"
600137002408,"OTS 7595,SHOCK ABSORBER"
600137002409,"OTS 7574,BEARING5/8IDX1 5/8OD"
600137002410,OTS 6117CYLAIR BOCMONT1BORX1STRKBF091D
600137002411,"OTS 7574,BEARING5/8IDX1 5/8OD"
600137002412,"OTS 8343,CYLINDER AIR 1 1/16BORE"
600137002413,"OTS 7574,BEARING5/8IDX1 5/8OD"
600137002414,"OTS 7346,HEATER,CERAMIC STRIP 16X1000W"
600137002415,"OTS 7281,SCR MODLE40A PHASE ANGLE CONTRL"
600137002416,"OTS 8905,VACUM GENRATR ASY24VDCVALVESW/O"
600137002417,"OTS 7281,SCR MODLE40A PHASE ANGLE CONTRL"
600137002418,"OTS 9348,COUPLER W/HUBS.625X.625"
600137002419,"OTS 5938GAUGE,MINIHLIC IIDIFF.PRESS40WC"
600137002420,"OTS 7508,SINGLE ROW BEARING 2ODX1ID"
600137002421,"OTS 5938GAUGE,MINIHLIC IIDIFF.PRESS40WC"
600137002422,"OTS 8949,VALVE,SOFT START UP"
600137002423,"OTS 6482,FUSE 50A600V CLASS"
600137002424,"OTS 5950,HIGH TEMP LIQUID LEVEL SWITCH"
600137002425,"OTS 6482,FUSE 50A600V CLASS"
600137002426,"OTS7320SOLID STATE RELAY3PH,30A 20-30VDC"
600137002427,"OTS 6482,FUSE 50A600V CLASS"
600137002428,"OTS 8885,TUBING,1/8 POLYURETHANE,BM"
600137002429,"OTS 6482,FUSE 50A600V CLASS"
600137002430,"OTS 2385,TUBING TYGON 1/8IDX1/4OD"
600137002431,"OTS 10242,POLYEURETHANE PROTECTIVE TAPE"
600137002432,"FAB 476-0141GASKET,CONVEOR PLENUM,SIZE B"
600137002433,"OTS 10242,POLYEURETHANE PROTECTIVE TAPE"
600137002434,"FAB 416-0140,BLADE TOP,SIZE C"
600137002435,"FAB 416-0141,BLADE BOTTOM,SIZE C"
600137002436,"OTS 7853,SENSOR PNP INDUCTIVE, ROBOHAND"
600137002437,"FAB 416-0141,BLADE BOTTOM,SIZE C"
600137002438,"OTS 666-0005,CASSETTE PALLETS"
600137002439,"416 0431-P1,RIBBON GUIDE,"
600137002440,"OTS SHIM FOR RIBBON GRIPPER,LINEAR MOTOR"
600137002441,"416 0431-P1,RIBBON GUIDE,"
600137002442,"OTS 11106,LATCH KEEPER"
600137002443,"416 0431-P1,RIBBON GUIDE,"
600137002444,"FAB 416-0114P1,SHAFT ROLLER SIZE B(RIGHT"
600137002445,"416 0431-P1,RIBBON GUIDE,"
600137002446,"FAB 416-0113P1,DRIVE SHAFT ROLRSIZEB(LFT"
600137002447,"FAB 416-0113-P2,DRIVE SHAFTROLLERSIZEB(R"
600137002448,"FAB 666-0281,WHEEL RIBBON FRICTION DRIVE"
600137002449,"FAB 416-0113-P2,DRIVE SHAFTROLLERSIZEB(R"
600137002450,"OTS 5049(Z),SOCKET HALOGEN LAMP"
600137002451,"FAB 416-0113-P2,DRIVE SHAFTROLLERSIZEB(R"
600137002452,LAMP-24V SBC (ASSEMBLER)
600137002453,"FAB 416-0113-P2,DRIVE SHAFTROLLERSIZEB(R"
600137002454,"OTS 6295,OVER CENTER DRAWER LATCH"
600137002455,"FAB 445-0124BLOCK,RIBON STRIGTENER SIZEC"
600137002456,"FAB 445-0125PIN,ADSTABL RIBON STRAIGHTNR"
600137002457,"FAB 445-0124BLOCK,RIBON STRIGTENER SIZEC"
600137002458,"PLATENS,619-0154,619-0155,619-0145"
600137002459,"FAB 445-0124BLOCK,RIBON STRIGTENER SIZEC"
600137002460,"OTS 8622,LAMP INTIGRATOR"
600137002461,"FAB 445-0124BLOCK,RIBON STRIGTENER SIZEC"
600137002462,"OTS 7593,SERIES S SLIDE"
600137002463,"FAB-537-0120,WINDOW"
600137002464,"FAB-656-0006,SUB RIBBON"
600137002465,"FAB-537-0120,WINDOW"
600137002466,"641-0123,LAMP CONTACT PIN"
600137002467,"863-0010,TEMP SENSOR ASSY"
600137002468,Solenoid Valves
600137002469,"863-0010,TEMP SENSOR ASSY"
600137002470,"FAB-656-0123,PIN PIVOT"
600137002471,"FAB-666-0260,DRIVE SHAFT"
600137002472,"OTS-10750,BALL BEARING"
600137002473,"FAB-666-0260,DRIVE SHAFT"
600137002474,"OTS-6784,SWITCH-VAC"
600137002475,"FAB-666-0260,DRIVE SHAFT"
600137002476,"OTS-13392,FILTER"
600137002477,"FAB-666-0260,DRIVE SHAFT"
600137002478,"FAB-583-0118,CONVEYOUR BELT"
600137002479,"FS POLY TAPE,NSI-SOLAR"
600137002480,"FAB-619-0103,MODULE GUIDE"
600137002481,"FS POLY TAPE,NSI-SOLAR"
600137002482,"FAB-656-0122,CONTACT RIBBON"
600137002483,"FAB-656-0121,UPPER JAW"
600137002484,Fab-445-01230'Gasket Screw
600137002485,"FAB-656-0121,UPPER JAW"
600137002486,"OTS-13083,FELT"
600137002487,OTS-6285' 2MTR STIX
600137002488,"FAB-B33-0153,WIPER"
600137002489,OTS-6285' 2MTR STIX
600137002490,POLYTHENE TAPE(ASSEMBLER)
600137002491,OTS-6285' 2MTR STIX
600137002492,"FAB583-0155,FLANGE SUPPORT,TEFLON"
600137002493,OTS-6285' 2MTR STIX
600137002494,"FAB583-0124,CLEVIS,ADJUSTING SCREW,SIZEB"
600137002495,"FAB583-0125,SCREW,ADJUSTING SIZE B"
600137002496,"FAB473-0131,NUT,ADJUSTING,SIZE B"
600137002497,"FAB583-0125,SCREW,ADJUSTING SIZE B"
600137002498,RIBBON STRAIGHTNER-2MM
600137002499,RIBBON STRAIGHTNER-1.5MM
600137002500,Vacuum Generator ZX1-VAK15LZ-D-S
600137002501,RIBBON STRAIGHTNER-1.5MM
600137002502,"OTS-10435, COUPLING, MISALIGNMENT"
600137002503,"FAB-B33-0142 TAB FINGER, TAB GUIDE"
600137002504,"FAB-755-0108 MASK, SOLDER HEAD ASSY,"
600137002505,"FAB-B33-0142 TAB FINGER, TAB GUIDE"
600137002506,"FAB-583-0122 WIPER MOUNT, LEFT, SIZE C"
600137002507,"FAB-B33-0142 TAB FINGER, TAB GUIDE"
600137002508,"OTS-6490, PLUG 10 POLE 16A 600V HA TYPE"
600137002509,"FAB-B33-0142 TAB FINGER, TAB GUIDE"
600137002510,"OTS-6493,HOOD FOR 10POLE CONNEC. SIDE EN"
600137002511,"OTS-6492, MOUNTING BASE FOR 10POLE CONN."
600137002512,"FAB-A02-0045,PURSUB,LAMP SOCKET ASSEMBLY"
600137002513,"OTS-6492, MOUNTING BASE FOR 10POLE CONN."
600137002514,"FAB-537-0119, HOUSING, REFLECTOR 185MM"
600137002515,"OTS-6492, MOUNTING BASE FOR 10POLE CONN."
600137002516,"FAB-445-0125,PIN,ADJUSTABLE RIBBON"
600137002517,"OTS-6492, MOUNTING BASE FOR 10POLE CONN."
600137002518,"FAB-583-0130 BEARING HUB,IDLER"
600137002519,"FAB-583-0150 PULLEY,FLANGE"
600137002520,Ball Bearing - SR6Z
600137002521,"FAB-583-0150 PULLEY,FLANGE"
600137002522,"LINEAR MOTION POTENTIOMETER,OTS-10058"
600137002523,"FAB-583-0150 PULLEY,FLANGE"
600137002524,"CENTERING SCALE,1MM GRADUATION-OTS-13559"
600137002525,"FAB-583-0150 PULLEY,FLANGE"
600137002526,Switch Paddle SPDT M
600137002527,Ell-Stud Fitting Bras-OTS-964
600137002528,"GRIP BAR,UPPER (FAB-416-0124)"
600137002529,Ell-Stud Fitting Bras-OTS-964
600137002530,"WIPER,BELT,SIZE B (FAB-583-0116)"
600137002531,Crystal Gauge Cont. & NW25 Head
600137002532,"FS CONNECTOR,2PIN,RECEP.062(OTS-7335)"
600137002533,Crystal Gauge Cont. & NW25 Head
600137002534,"FS PIN,MALE (OTS-7337)"
600137002535,"FS PIN,FEMALE (OTS-7338)"
600137002536,FS Flow Control Elbow 1/8Tube(OTS-9121)
600137002537,"FS PIN,FEMALE (OTS-7338)"
600137002538,"VALVE,AIR CONTROL,3-WAY (OTS-9819)"
600137002539,"FS PIN,FEMALE (OTS-7338)"
600137002540,Vacuum Pad
600137002541,"FS PIN,FEMALE (OTS-7338)"
600137002542,Vacuum Generator(i-zx1071-k15loz-e55cl)
600137002543,Air Regulator(I-AR10-M5B-Z)
600137002544,"OTS 11986,AMPLIFIER, FIBER OPTIC,FS-V31P"
600137002545,Air Regulator(I-AR10-M5B-Z)
600137002546,"OTS 11985,THRU BEAM, FIBER,FU-A05"
600137002547,"CELL PICKUP ALLIGNER BEARING-R1438H,NMB"
600137002548,"OTS 8973(VALVE 3 WAY,SYJ514M-5LOZ)"
600137002549,"CELL PICKUP ALLIGNER BEARING-R1438H,NMB"
600137002550,"VALVE 4 WAY 24VDC,PART NO-OTS8966"
600137002551,"BEARING-608Z,OD-22,ID-8"
600137002552,"BEARING-6200Z,OD-30,ID-10"
600137002553,"BEARING-608Z,OD-22,ID-8"
600137002554,Pully Flange Aluminium(Local)
600137002555,"BEARING-608Z,OD-22,ID-8"
600137002556,"CONNECTOR JACKET 2000MM,OTS8902"
600137002557,"BEARING-608Z,OD-22,ID-8"
600137002558,"BOARD FOR SNAP I/O, OPTO 22,OTS6934"
600137002559,"SNAP I/O JUMPER,OTS7535"
600137002560,"RELAY SINGLE POLE DOU,OTS4215"
600137002561,"SNAP I/O JUMPER,OTS7535"
600137002562,"DIODE RECTIFIER GPP 400V,1A,DO-41,OTS268"
600137002563,"VALVE,PRESSURE RELIFE,1/4NPT,OTS8943"
600137002564,"8 STATION MANIFOLD,OTS10633"
600137002565,"VALVE,PRESSURE RELIFE,1/4NPT,OTS8943"
600137002566,"SPACER 10 STATION MANIFOLD,FAB558-0122"
600137002567,"AC GEAR MOTOR,1/30HPX28 RPM,OTS10650"
600137002568,"COUPLING SHAFT,HOLETYPE 50 BORE,OTS10492"
600137002569,"AC GEAR MOTOR,1/30HPX28 RPM,OTS10650"
600137002570,"SHAFT, GEAR YOKE,FAB666-0206"
600137002571,"AC GEAR MOTOR,1/30HPX28 RPM,OTS10650"
600137002572,"SWITCH,SQUARE,MOMENARY,OTS52"
600137002573,"AC GEAR MOTOR,1/30HPX28 RPM,OTS10650"
600137002574,"CABLE SERVO MOTOR ENCODER,10M,OTS9251"
600137002575,"ROTARY ACTUATOR WITH ACE SHOCKS,OTS11969"
600137002576,"STRING EDGE DETECTOR ASSEM.,FAB619-0015"
600137002577,"ROTARY ACTUATOR WITH ACE SHOCKS,OTS11969"
600137002578,"ADDER DECK,CONACTOR,4 POLE 4NO, 100C,OTS"
600137002579,"ROTARY ACTUATOR WITH ACE SHOCKS,OTS11969"
600137002580,"POWER DIST. 3POLE 1@2-14, 4@4-14,OTS8663"
600137002581,"ROTARY ACTUATOR WITH ACE SHOCKS,OTS11969"
600137002582,"SLC 5/04 PROCESSOR,OTS6420"
600137002583,"MODULE, DC INPUT, 16 POINTS,OTS5593"
600137002584,"OUTPUT MODULE 16 POINT,OTS6421"
600137002585,"MODULE, DC INPUT, 16 POINTS,OTS5593"
600137002586,"MODULE ANALOG COMBO,OTS7599"
600137002587,"MODULE, DC INPUT, 16 POINTS,OTS5593"
600137002588,"FUSE&FUSE HOLDER(40A),FU1451/40A,OTS8472"
600137002589,"MODULE, DC INPUT, 16 POINTS,OTS5593"
600137002590,"SERVO DRIVE AMPL 200/400W 230VA,OTS8939"
600137002591,"CONTROLLER 6 AXIS SERVO (COMPUTER),OTS83"
600137002592,"PLUG 25 PIN D-TYPE SOLDER CONTACT,OTS496"
600137002593,"CONTROLLER 6 AXIS SERVO (COMPUTER),OTS83"
600137002594,"CABLE,6K TO GEMINI,10 FT.,OTS10325"
600137002595,"MEMORY MODULE SLC5/03 &5/04, 28K,OTS6753"
600137002596,"SAFETY RELAY,1NC IN,3NO/1NC OUT,OTS8591"
600137002597,"MEMORY MODULE SLC5/03 &5/04, 28K,OTS6753"
600137002598,"RELAY,SOLID STATE,OTS9312"
600137002599,"RESISTOR 3.74K 1% 0.6W,OTS9027"
600137002600,"RHEOSTAT,5 OHM,150W,OTS9882"
600137002601,"RESISTOR 3.74K 1% 0.6W,OTS9027"
600137002602,"CABLE,SERVO MOTOR POWER,5M,OTS9956"
600137002603,"RESISTOR 3.74K 1% 0.6W,OTS9027"
600137002604,"INPUT SIM 8 DIGITAL EVM-32,OTS7895"
600137002605,"RESISTOR 3.74K 1% 0.6W,OTS9027"
600137002606,"RELAY,SPST,24VDC 6MM,OTS8758"
600137002607,"CABLE,INERFACE, 6K TO LEGAND,FAB750-0401"
600137002608,"PC CARD,PCI  OPT022 B3,OTS9982"
600137002609,"CABLE,INERFACE, 6K TO LEGAND,FAB750-0401"
600137002610,"RESISTOR 470OHM CARSCF-25-471-5%,OTS2698"
600137002611,"RESISTOR 750 OHM 1/4SCF-25-751,OTS2270"
600137002612,"RESISTOR 825 OHM 1/4W,OTS2845"
600137002613,"RESISTOR 750 OHM 1/4SCF-25-751,OTS2270"
600137002614,"PRECISION CAPTIVE SCR,OTS4061"
600137002615,"THERMOCOUPLE,#10 WASHER TYPE K,OTS8328"
600137002616,"LINEAR MOTOR,FABA02-0025"
600137002617,"THERMOCOUPLE,#10 WASHER TYPE K,OTS8328"
600137002618,"CYLINDER VARIABLE STORK,OTS8992"
600137002619,"THERMOCOUPLE,#10 WASHER TYPE K,OTS8328"
600137002620,"BALL BEARING 5SQUARE-2 AXIS,W/2,OTS635"
600137002621,"THERMOCOUPLE,#10 WASHER TYPE K,OTS8328"
600137002622,"SUB, IR 3-LAMPS POWER CONTROLLER,FABB13-"
600137002623,"ANALOG INPUT MODULE,2CH,+/-10V,OTS13403"
600137002624,"CYLINDER 15MM BOREX 25MM STROK,OTS9363"
600137002625,"ANALOG INPUT MODULE,2CH,+/-10V,OTS13403"
600137002626,"PULLEY, TENSIONER,FAB583-0115"
600137002627,"SHAFT,TENSIONER PULLEY,SIZE B,FAB583-013"
600137002628,"COMP. SPRING 1.218 ODX.059,OTS10661"
600137002629,"SHAFT,TENSIONER PULLEY,SIZE B,FAB583-013"
600137002630,"COMP. SPRING,30ODX.20IDX1OAL,OTS12836"
600137002631,"SPACER, .325 ID X 1.00L,OTS10758"
600137002632,"AIR JET PLATE,FAB666-0112"
600137002633,"SPACER, .325 ID X 1.00L,OTS10758"
600137002634,"CABLE(QD), 4 WIRE,2M LONG,OTS7822"
600137002635,"SPACER, .325 ID X 1.00L,OTS10758"
600137002636,"SHAFT, DRIVE PULLY,FAB583-0154"
600137002637,"SPACER, .325 ID X 1.00L,OTS10758"
600137002638,"SOLDER AREA VACUUM MOTOR,OTS-6168"
600137002639,"BLOCK, BEARING,FAB416-0102"
600137002640,"KEY,DRIVE SHAFT, SIZE B,FAB473-0136"
600137002641,"BLOCK, BEARING,FAB416-0102"
600137002642,"PULLY IDLER ALUMINUM,P/N:FAB-583-0153"
600137002643,"BLOCK, BEARING,FAB416-0102"
600137002644,"TIME DELAY FUSE,KLDR-3,CLASS CC"
600137002645,"BLOCK, BEARING,FAB416-0102"
600137002646,"BALL BEARING STAGE 5,OTS6355"
600137002647,"BEARING LOWER DIE,FAB416-0566"
600137002648,"BEARING RADIAL 3/8 ID,OTS9333"
600137002649,"BEARING LOWER DIE,FAB416-0566"
600137002650,"BEARING FLANGE, IGLIDE G300,OTS12014"
600137002651,"BEARING LOWER DIE,FAB416-0566"
600137002652,"SCALE FOR ENCODER(RGH24D30F00A),RENISHAW"
600137002653,"BEARING LOWER DIE,FAB416-0566"
600137002654,"SCALE FOR ENCODER(RGH24D30F00A),900MM"
600137002655,"CELL PICKUP ALIGN BELT,252MM,15MM,T-84"
600137002656,O-ring(8.4X5.6X1.6)puller Gripper Cylin.
600137002657,"CELL PICKUP ALIGN BELT,252MM,15MM,T-84"
600137002658,ARKA
600137002660,Vacuum Pad SMC ZP16BS cell pickup
600137002661,Vacuum Pad SMC ZP16BS cell pickup
600137002662,Sets Screw for pully 8-32*.375
600137002663,"LINEAR TRACK RAIL,LWL9R860"
600137002664,"BEARING 7200 BEP, SKF "
600137002665,"LINEAR TRACK RAIL,LWL9R860"
600137002666,"SERVO MOTOR SGMAH-02AAF4C-AS,YASKAWA"
600137002667,"LINEAR TRACK RAIL,LWL9R860"
600137002668,"SERVO MOTOR SGMAH-04AAN21-AS,YASKAWA"
600137002669,"LINEAR TRACK RAIL,LWL9R860"
600137002670,"FINGER MOUNTING BLOCK, OTS473-0167"
600137002671,"TAB GUIDE, 4-RIBBON, 1.2MM,  B33-0144"
600137002672,PLATEN VACUUM PLATE FOR 4 BB
