Material,Material type,Material Group,Base Unit of Measure
110000000334,ZHAW,C0013,EA
110000000335,ZHAW,C0013,EA
110000000336,ZHAW,C0013,M
110000000337,ZHAW,C0013,M
110000000338,ZHAW,O0001,M
110000000341,ZHAW,O0001,EA
110000000343,ZHAW,O0001,EA
110000000344,ZHAW,O0001,EA
110000000345,ZHAW,O0001,EA
110000000346,ZHAW,O0001,EA
110000000347,ZHAW,O0001,EA
110000000348,ZHAW,O0001,EA
110000000349,ZHAW,O0001,EA
110000000350,ZHAW,O0001,EA
110000000351,ZHAW,C0013,EA
110000000352,ZHAW,O0001,EA
110000000353,ZHAW,O0001,EA
110000000354,ZHAW,O0001,M
110000000355,ZHAW,O0001,EA
110000000356,ZHAW,O0001,EA
110000000357,ZHAW,O0001,EA
110000000358,ZHAW,C0013,EA
110000000359,ZHAW,C0013,EA
110000000360,ZHAW,C0013,EA
110000000361,ZHAW,C0013,M
110000000362,ZHAW,C0013,M
110000000363,ZHAW,C0013,M
110000000364,ZHAW,C0013,M
110000000365,ZHAW,C0013,M
110000000366,ZHAW,C0013,M
110000000367,ZHAW,I0003,EA
110000000368,ZHAW,O0001,EA
110000000369,ZHAW,O0001,EA
110000000370,ZHAW,O0001,EA
110000000371,ZHAW,O0001,EA
110000000372,ZHAW,O0001,EA
110000000373,ZHAW,O0001,EA
110000000374,ZHAW,O0001,EA
110000000375,ZHAW,O0001,EA
110000000376,ZHAW,O0001,EA
110000000377,ZHAW,O0001,EA
110000000378,ZHAW,O0001,EA
110000000379,ZHAW,C0013,EA
110000000380,ZHAW,C0013,EA
110000000381,ZHAW,O0001,EA
110000000382,ZHAW,B0002,M
110000000383,ZHAW,B0002,M
110000000384,ZHAW,O0001,AU
110000000385,ZHAW,B0002,EA
110000000386,ZHAW,O0001,EA
110000000387,ZHAW,O0001,EA
110000000388,ZHAW,C0013,EA
110000000389,ZHAW,O0001,EA
110000000390,ZHAW,O0001,M
110000000391,ZHAW,I0003,M
110000000392,ZHAW,C0013,EA
110000000393,ZHAW,P0005,EA
110000000394,ZHAW,P0005,EA
110000000396,ZHAW,O0001,EA
110000000397,ZHAW,P0005,EA
110000000398,ZHAW,P0005,EA
110000000399,ZHAW,P0005,EA
110000000400,ZHAW,O0001,EA
110000000401,ZHAW,B0002,EA
110000000402,ZHAW,B0002,EA
110000000403,ZHAW,B0002,EA
110000000404,ZHAW,C0013,EA
110000000405,ZHAW,C0013,EA
110000000406,ZHAW,I0003,EA
110000000407,ZHAW,C0013,M
110000000408,ZHAW,O0001,M
110000000409,ZHAW,O0001,EA
110000000410,ZHAW,C0013,EA
110000000411,ZHAW,C0013,EA
110000000412,ZHAW,C0013,EA
110000000413,ZHAW,O0001,M
110000000414,ZHAW,M0003,EA
110000000415,ZHAW,B0002,EA
110000000416,ZHAW,B0002,EA
110000000417,ZHAW,O0001,EA
110000000418,ZHAW,C0013,EA
110000000419,ZHAW,O0001,EA
110000000420,ZHAW,O0001,EA
110000000421,ZHAW,C0013,M
110000000422,ZHAW,C0013,M
110000000423,ZHAW,C0013,M
110000000424,ZHAW,O0001,M
110000000425,ZHAW,O0001,M
110000000426,ZHAW,O0001,M
110000000427,ZHAW,M0003,EA
110000000428,ZHAW,C0013,EA
110000000429,ZHAW,C0013,EA
110000000430,ZHAW,C0013,EA
110000000431,ZHAW,B0002,M
110000000432,ZHAW,C0013,M
110000000433,ZHAW,B0002,M
110000000434,ZHAW,B0002,EA
110000000435,ZHAW,O0001,EA
110000000436,ZHAW,O0001,EA
110000000437,ZHAW,O0001,EA
110000000438,ZHAW,M0003,L
110000000439,ZHAW,O0001,EA
110000000440,ZHAW,O0001,EA
110000000441,ZHAW,O0001,EA
110000000442,ZHAW,O0001,EA
110000000443,ZHAW,O0001,EA
110000000444,ZHAW,O0001,EA
110000000445,ZHAW,O0001,EA
110000000446,ZHAW,C0013,EA
110000000447,ZHAW,O0001,EA
110000000448,ZHAW,O0001,EA
110000000449,ZHAW,O0001,EA
110000000450,ZHAW,O0001,EA
110000000451,ZHAW,O0001,EA
110000000452,ZHAW,C0013,EA
110000000453,ZHAW,O0001,EA
110000000454,ZHAW,P0005,EA
110000000455,ZHAW,O0001,EA
110000000456,ZHAW,C0013,EA
110000000457,ZHAW,O0001,M
110000000458,ZHAW,O0001,EA
110000000459,ZHAW,O0001,EA
110000000460,ZHAW,O0001,EA
110000000467,ZHAW,O0001,EA
110000000468,ZHAW,O0001,KG
110000000469,ZHAW,O0001,L
110000000470,ZHAW,B0002,KG
110000000471,ZHAW,O0001,EA
110000000472,ZHAW,O0001,EA
110000000473,ZHAW,O0001,EA
110000000474,ZHAW,O0001,M
110000000475,ZHAW,O0001,KG
110000000476,ZHAW,O0001,EA
110000000477,ZHAW,C0013,PAA
110000000478,ZHAW,O0001,PAA
110000000479,ZHAW,O0001,EA
110000000480,ZHAW,O0001,EA
110000000481,ZHAW,O0001,EA
110000000482,ZHAW,C0013,EA
110000000483,ZHAW,C0013,EA
110000000484,ZHAW,B0002,EA
110000000485,ZHAW,O0001,M
110000000486,ZHAW,O0001,M
110000000487,ZHAW,B0002,EA
110000000488,ZHAW,I0003,EA
110000000489,ZHAW,O0001,M
110000000490,ZHAW,C0013,M
110000000491,ZHAW,O0001,M
110000000492,ZHAW,M0003,EA
110000000493,ZHAW,B0002,EA
110000000494,ZHAW,O0001,EA
110000000495,ZHAW,O0001,EA
110000000496,ZHAW,B0002,EA
110000000497,ZHAW,B0002,EA
110000000498,ZHAW,O0001,EA
110000000499,ZHAW,O0001,EA
110000000500,ZHAW,O0001,EA
110000000501,ZHAW,O0001,EA
110000000502,ZHAW,O0001,EA
110000000503,ZHAW,O0001,EA
110000000504,ZHAW,O0001,EA
110000000505,ZHAW,O0001,EA
110000000506,ZHAW,C0013,EA
110000000507,ZHAW,C0013,EA
110000000508,ZHAW,O0001,EA
110000000509,ZHAW,O0001,EA
110000000510,ZHAW,B0002,EA
110000000511,ZHAW,O0001,EA
110000000512,ZHAW,B0002,EA
110000000513,ZHAW,O0001,EA
110000000514,ZHAW,O0001,EA
110000000515,ZHAW,I0003,EA
110000000516,ZHAW,I0003,EA
110000000517,ZHAW,O0001,EA
110000000519,ZHAW,C0013,EA
110000000520,ZHAW,O0001,EA
110000000521,ZHAW,O0001,EA
110000000522,ZHAW,B0002,EA
110000000523,ZHAW,O0001,EA
110000000524,ZHAW,O0001,EA
110000000525,ZHAW,C0013,EA
110000000526,ZHAW,C0013,EA
110000000527,ZHAW,C0013,EA
110000000528,ZHAW,O0001,EA
110000000529,ZHAW,C0013,M
110000000530,ZHAW,E0003,EA
110000000531,ZHAW,O0001,EA
110000000532,ZHAW,E0003,EA
110000000533,ZHAW,O0001,EA
110000000534,ZHAW,B0002,EA
110000000535,ZHAW,C0013,M
110000000536,ZHAW,C0013,M
110000000537,ZHAW,C0013,M
110000000538,ZHAW,P0005,KG
110000000539,ZHAW,B0002,KG
110000000540,ZHAW,O0001,EA
110000000541,ZHAW,O0001,EA
110000000542,ZHAW,O0001,EA
110000000543,ZHAW,O0001,EA
110000000544,ZHAW,O0001,EA
110000000545,ZHAW,C0013,EA
110000000546,ZHAW,O0001,EA
110000000547,ZHAW,O0001,EA
110000000548,ZHAW,O0001,EA
110000000549,ZHAW,O0001,EA
110000000550,ZHAW,O0001,EA
110000000551,ZHAW,O0001,EA
110000000552,ZHAW,O0001,KG
110000000553,ZHAW,O0001,EA
110000000554,ZHAW,C0013,EA
110000000555,ZHAW,C0013,EA
110000000556,ZHAW,O0001,EA
110000000557,ZHAW,O0001,EA
110000000558,ZHAW,O0001,EA
110000000559,ZHAW,O0001,KG
110000000560,ZHAW,O0001,KG
110000000561,ZHAW,P0005,EA
110000000562,ZHAW,O0001,KG
110000000563,ZHAW,O0001,EA
110000000564,ZHAW,O0001,EA
110000000565,ZHAW,O0001,EA
110000000566,ZHAW,E0003,EA
110000000567,ZHAW,E0003,EA
110000000568,ZHAW,O0001,M
110000000569,ZHAW,C0013,EA
110000000570,ZHAW,C0013,EA
110000000571,ZHAW,O0001,EA
110000000572,ZHAW,O0001,EA
110000000573,ZHAW,O0001,EA
110000000574,ZHAW,O0001,EA
110000000575,ZHAW,O0001,EA
110000000576,ZHAW,O0001,EA
110000000577,ZHAW,O0001,EA
110000000578,ZHAW,O0001,EA
110000000579,ZHAW,O0001,EA
110000000580,ZHAW,O0001,EA
110000000581,ZHAW,P0005,EA
110000000582,ZHAW,O0001,EA
110000000583,ZHAW,O0001,EA
110000000584,ZHAW,O0001,EA
110000000585,ZHAW,B0002,EA
110000000586,ZHAW,O0001,EA
110000000587,ZHAW,O0001,EA
110000000588,ZHAW,O0001,FT2
110000000589,ZHAW,O0001,EA
110000000590,ZHAW,O0001,EA
110000000591,ZHAW,O0001,EA
110000000592,ZHAW,O0001,KG
110000000593,ZHAW,I0003,EA
110000000594,ZHAW,B0002,EA
110000000595,ZHAW,O0001,EA
110000000596,ZHAW,O0001,EA
110000000597,ZHAW,O0001,EA
110000000598,ZHAW,O0001,EA
110000000599,ZHAW,O0001,EA
110000000600,ZHAW,O0001,EA
110000000601,ZHAW,O0001,EA
110000000602,ZHAW,C0013,EA
110000000603,ZHAW,C0013,EA
110000000604,ZHAW,C0013,EA
110000000605,ZHAW,C0013,EA
110000000606,ZHAW,C0013,EA
110000000607,ZHAW,O0001,EA
110000000608,ZHAW,C0013,EA
110000000609,ZHAW,O0001,EA
110000000610,ZHAW,O0001,EA
110000000611,ZHAW,O0001,PAC
110000000612,ZHAW,O0001,EA
110000000613,ZHAW,O0001,EA
110000000614,ZHAW,O0001,EA
110000000615,ZHAW,C0013,EA
110000000616,ZHAW,C0013,EA
110000000617,ZHAW,P0005,EA
110000000618,ZHAW,O0001,EA
110000000619,ZHAW,O0001,EA
110000000620,ZHAW,O0001,EA
110000000621,ZHAW,P0005,EA
110000000622,ZHAW,P0005,EA
110000000623,ZHAW,O0001,EA
110000000624,ZHAW,P0005,EA
110000000625,ZHAW,P0005,EA
110000000626,ZHAW,O0001,EA
110000000627,ZHAW,C0013,EA
110000000628,ZHAW,C0013,EA
110000000629,ZHAW,C0013,EA
110000000630,ZHAW,C0013,EA
110000000631,ZHAW,C0013,M
110000000632,ZHAW,C0013,M
110000000633,ZHAW,O0001,M
110000000634,ZHAW,O0001,EA
110000000635,ZHAW,O0001,EA
110000000636,ZHAW,O0001,EA
110000000637,ZHAW,O0001,M
110000000638,ZHAW,C0013,EA
110000000639,ZHAW,O0001,M
110000000640,ZHAW,P0005,EA
110000000641,ZHAW,C0013,EA
110000000642,ZHAW,C0013,EA
110000000643,ZHAW,C0013,PAC
110000000644,ZHAW,O0001,M
110000000645,ZHAW,M0003,M
110000000646,ZHAW,M0003,M
110000000647,ZHAW,M0003,M
110000000648,ZHAW,O0001,M
110000000649,ZHAW,C0013,M
110000000650,ZHAW,C0013,M
110000000651,ZHAW,C0013,M
110000000652,ZHAW,O0001,EA
110000000653,ZHAW,C0013,EA
110000000654,ZHAW,O0001,EA
110000000656,ZHAW,O0001,EA
110000000657,ZHAW,O0001,M
110000000658,ZHAW,O0001,EA
110000000659,ZHAW,O0001,M
110000000660,ZHAW,O0001,M
110000000661,ZHAW,O0001,M
110000000662,ZHAW,O0001,M
110000000663,ZHAW,O0001,EA
110000000664,ZHAW,O0001,EA
110000000665,ZHAW,C0013,EA
110000000666,ZHAW,O0001,EA
110000000667,ZHAW,C0013,EA
110000000668,ZHAW,C0013,M
110000000669,ZHAW,C0013,M
110000000670,ZHAW,I0003,M
110000000671,ZHAW,O0001,EA
110000000672,ZHAW,C0013,M
110000000673,ZHAW,O0001,EA
110000000674,ZHAW,O0001,EA
110000000675,ZHAW,B0002,EA
110000000676,ZHAW,O0001,EA
110000000677,ZHAW,O0001,EA
110000000678,ZHAW,O0001,EA
110000000679,ZHAW,O0001,EA
110000000680,ZHAW,O0001,EA
110000000681,ZHAW,O0001,EA
110000000682,ZHAW,O0001,EA
110000000683,ZHAW,O0001,EA
110000000684,ZHAW,B0002,EA
110000000685,ZHAW,I0003,EA
110000000686,ZHAW,O0001,M
110000000687,ZHAW,O0001,M
110000000688,ZHAW,O0001,EA
110000000689,ZHAW,O0001,EA
110000000690,ZHAW,C0013,EA
110000000691,ZHAW,O0001,EA
110000000692,ZHAW,O0001,EA
110000000693,ZHAW,O0001,EA
110000000694,ZHAW,B0002,EA
110000000695,ZHAW,O0001,EA
110000000696,ZHAW,O0001,EA
110000000697,ZHAW,O0001,EA
110000000698,ZHAW,O0001,EA
110000000699,ZHAW,O0001,EA
110000000700,ZHAW,B0002,EA
110000000701,ZHAW,O0001,EA
110000000702,ZHAW,O0001,EA
110000000703,ZHAW,B0002,EA
110000000704,ZHAW,I0003,EA
110000000705,ZHAW,O0001,EA
110000000706,ZHAW,O0001,EA
110000000707,ZHAW,O0001,EA
110000000708,ZHAW,B0002,EA
110000000709,ZHAW,C0013,M
110000000710,ZHAW,O0001,EA
110000000711,ZHAW,I0003,EA
110000000712,ZHAW,I0003,EA
110000000713,ZHAW,I0003,EA
110000000714,ZHAW,I0003,EA
110000000715,ZHAW,I0003,EA
110000000716,ZHAW,I0003,EA
110000000717,ZHAW,I0003,EA
110000000718,ZHAW,O0001,EA
110000000719,ZHAW,B0002,EA
110000000720,ZHAW,I0003,EA
110000000721,ZHAW,I0003,EA
110000000722,ZHAW,O0001,EA
110000000723,ZHAW,I0003,EA
110000000724,ZHAW,O0001,EA
110000000725,ZHAW,O0001,EA
110000000726,ZHAW,I0003,EA
110000000727,ZHAW,B0002,EA
110000000728,ZHAW,M0003,EA
110000000729,ZHAW,C0013,EA
110000000730,ZHAW,O0001,EA
110000000731,ZHAW,O0001,EA
110000000732,ZHAW,O0001,EA
110000000733,ZHAW,O0001,EA
110000000734,ZHAW,O0001,EA
110000000735,ZHAW,O0001,EA
110000000736,ZHAW,O0001,EA
110000000737,ZHAW,O0001,EA
110000000738,ZHAW,O0001,EA
110000000739,ZHAW,O0001,EA
110000000740,ZHAW,O0001,EA
110000000741,ZHAW,O0001,EA
110000000742,ZHAW,I0003,EA
110000000743,ZHAW,O0001,EA
110000000744,ZHAW,B0002,EA
110000000745,ZHAW,C0013,EA
110000000746,ZHAW,B0002,EA
110000000747,ZHAW,O0001,EA
110000000748,ZHAW,O0001,EA
110000000749,ZHAW,O0001,EA
110000000750,ZHAW,O0001,EA
110000000751,ZHAW,O0001,EA
110000000752,ZHAW,O0001,EA
110000000753,ZHAW,O0001,EA
110000000754,ZHAW,O0001,EA
110000000755,ZHAW,C0013,EA
110000000756,ZHAW,O0001,EA
110000000757,ZHAW,O0001,EA
110000000758,ZHAW,O0001,EA
110000000759,ZHAW,O0001,EA
110000000760,ZHAW,O0001,EA
110000000761,ZHAW,C0013,EA
110000000762,ZHAW,C0013,EA
110000000763,ZHAW,B0002,EA
110000000764,ZHAW,O0001,EA
110000000765,ZHAW,O0001,EA
110000000766,ZHAW,O0001,EA
110000000767,ZHAW,C0013,EA
110000000768,ZHAW,O0001,EA
110000000769,ZHAW,O0001,EA
110000000770,ZHAW,O0001,EA
110000000771,ZHAW,O0001,G
110000000772,ZHAW,O0001,EA
110000000773,ZHAW,C0013,EA
110000000774,ZHAW,O0001,EA
110000000775,ZHAW,O0001,EA
110000000776,ZHAW,C0013,EA
110000000777,ZHAW,E0003,EA
110000000778,ZHAW,O0001,EA
110000000779,ZHAW,C0013,EA
110000000780,ZHAW,O0001,M
110000000781,ZHAW,I0003,EA
110000000782,ZHAW,O0001,EA
110000000783,ZHAW,O0001,EA
110000000784,ZHAW,C0013,EA
110000000785,ZHAW,O0001,EA
110000000786,ZHAW,O0001,EA
110000000787,ZHAW,O0001,EA
110000000788,ZHAW,O0001,EA
110000000789,ZHAW,C0013,EA
110000000790,ZHAW,C0013,EA
110000000791,ZHAW,O0001,EA
110000000792,ZHAW,C0013,M
110000000793,ZHAW,O0001,EA
110000000794,ZHAW,O0001,EA
110000000795,ZHAW,O0001,M
110000000796,ZHAW,C0013,EA
110000000797,ZHAW,O0001,PAA
110000000799,ZHAW,C0013,EA
110000000800,ZHAW,C0013,EA
110000000801,ZHAW,O0001,EA
110000000802,ZHAW,O0001,EA
110000000803,ZHAW,C0013,M
110000000804,ZHAW,O0001,EA
110000000805,ZHAW,C0013,EA
110000000806,ZHAW,C0013,EA
110000000807,ZHAW,C0013,EA
110000000808,ZHAW,C0013,M
110000000809,ZHAW,C0013,M
110000000810,ZHAW,C0013,EA
110000000811,ZHAW,E0003,EA
110000000812,ZHAW,O0001,EA
110000000813,ZHAW,O0001,EA
110000000814,ZHAW,O0001,EA
110000000815,ZHAW,C0013,M
110000000816,ZHAW,O0001,EA
110000000817,ZHAW,C0013,EA
110000000818,ZHAW,C0013,M
110000000819,ZHAW,C0013,M
110000000820,ZHAW,O0001,KG
110000000821,ZHAW,O0001,KG
110000000822,ZHAW,O0001,KG
110000000824,ZHAW,C0013,M
110000000825,ZHAW,C0013,M
110000000826,ZHAW,C0013,M
110000000827,ZHAW,O0001,EA
110000000828,ZHAW,O0001,EA
110000000829,ZHAW,O0001,EA
110000000830,ZHAW,O0001,EA
110000000831,ZHAW,O0001,EA
110000000832,ZHAW,O0001,EA
110000000833,ZHAW,O0001,EA
110000000834,ZHAW,O0001,PAC
110000000835,ZHAW,O0001,EA
110000000836,ZHAW,C0013,M
110000000837,ZHAW,C0013,M
110000000838,ZHAW,O0001,EA
110000000839,ZHAW,O0001,EA
110000000840,ZHAW,O0001,EA
110000000841,ZHAW,O0001,EA
110000000842,ZHAW,O0001,EA
110000000844,ZHAW,E0003,EA
110000000845,ZHAW,E0003,EA
110000000846,ZHAW,O0001,EA
110000000847,ZHAW,O0001,EA
110000000848,ZHAW,O0001,EA
110000000849,ZHAW,E0003,EA
110000000850,ZHAW,E0003,EA
110000000851,ZHAW,E0003,EA
110000000852,ZHAW,E0003,EA
110000000853,ZHAW,E0003,EA
110000000854,ZHAW,E0003,EA
110000000855,ZHAW,E0003,EA
110000000856,ZHAW,E0003,EA
110000000857,ZHAW,E0003,EA
110000000858,ZHAW,E0003,EA
110000000859,ZHAW,P0009,EA
110000000860,ZHAW,E0003,EA
110000000861,ZHAW,E0003,EA
110000000862,ZHAW,E0003,EA
110000000863,ZHAW,E0003,EA
110000000864,ZHAW,E0003,EA
110000000865,ZHAW,P0009,EA
110000000866,ZHAW,E0003,EA
110000000867,ZHAW,I0003,EA
110000000868,ZHAW,P0009,EA
110000000869,ZHAW,E0003,EA
110000000870,ZHAW,E0003,EA
110000000871,ZHAW,E0003,EA
110000000872,ZHAW,C0013,EA
110000000873,ZHAW,C0013,EA
110000000874,ZHAW,I0003,EA
110000000875,ZHAW,E0003,EA
110000000876,ZHAW,E0003,EA
110000000877,ZHAW,E0003,EA
110000000878,ZHAW,E0003,EA
110000000879,ZHAW,E0003,EA
110000000880,ZHAW,E0003,EA
110000000881,ZHAW,E0003,EA
110000000882,ZHAW,E0003,EA
110000000883,ZHAW,E0003,EA
110000000884,ZHAW,E0003,EA
110000000885,ZHAW,E0003,EA
110000000886,ZHAW,E0003,EA
110000000887,ZHAW,E0003,EA
110000000888,ZHAW,E0003,EA
110000000889,ZHAW,E0003,EA
110000000890,ZHAW,I0003,EA
110000000891,ZHAW,E0003,EA
110000000892,ZHAW,E0003,EA
110000000893,ZHAW,E0003,EA
110000000894,ZHAW,I0003,EA
110000000895,ZHAW,O0001,M
110000000896,ZHAW,C0013,EA
110000000897,ZHAW,C0013,EA
110000000898,ZHAW,O0001,EA
110000000899,ZHAW,O0001,EA
110000000900,ZHAW,C0013,EA
110000000901,ZHAW,I0003,EA
110000000902,ZHAW,E0003,EA
110000000903,ZHAW,C0013,EA
110000000904,ZHAW,E0003,EA
110000000905,ZHAW,E0003,EA
110000000906,ZHAW,O0001,TON
110000000907,ZHAW,C0013,EA
110000000908,ZHAW,C0013,EA
110000000909,ZHAW,B0002,EA
110000000910,ZHAW,B0002,EA
110000000911,ZHAW,B0002,EA
110000000912,ZHAW,O0001,M
110000000913,ZHAW,E0003,EA
110000000914,ZHAW,O0001,PC
110000000915,ZHAW,O0001,M
110000000916,ZHAW,O0001,PC
110000000917,ZHAW,O0001,M
110000000918,ZHAW,O0001,M
110000000919,ZHAW,O0001,PC
110000000920,ZHAW,C0013,PC
110000000921,ZHAW,C0013,M
110000000922,ZHAW,O0001,EA
110000000923,ZHAW,O0001,EA
110000000924,ZHAW,C0013,M
110000000925,ZHAW,O0001,TON
110000000926,ZHAW,C0013,TON
110000000927,ZHAW,P0005,EA
110000000928,ZHAW,E0003,EA
110000000929,ZHAW,C0013,M
110000000930,ZHAW,O0001,EA
110000000931,ZHAW,O0001,EA
110000000932,ZHAW,O0001,EA
110000000933,ZHAW,O0001,EA
110000000934,ZHAW,E0003,EA
110000000935,ZHAW,I0003,EA
110000000936,ZHAW,I0003,M
110000000937,ZHAW,O0001,EA
110000000938,ZHAW,E0003,EA
110000000939,ZHAW,O0001,EA
110000000940,ZHAW,O0001,EA
110000000941,ZHAW,E0003,M
110000000942,ZHAW,O0001,EA
110000000943,ZHAW,O0001,EA
110000000944,ZHAW,O0001,EA
110000000945,ZHAW,O0001,EA
110000000946,ZHAW,P0005,GM
110000000947,ZHAW,O0001,M
110000000948,ZHAW,O0001,EA
110000000949,ZHAW,O0001,EA
110000000950,ZHAW,O0001,EA
110000000952,ZHAW,O0001,EA
110000000953,ZHAW,O0001,EA
110000000954,ZHAW,O0001,EA
110000000955,ZHAW,O0001,KG
110000000956,ZHAW,C0013,EA
110000000957,ZHAW,C0013,EA
110000000958,ZHAW,C0013,KG
110000000959,ZHAW,C0013,EA
110000000960,ZHAW,C0013,EA
110000000961,ZHAW,O0001,EA
110000000962,ZHAW,O0001,EA
110000000963,ZHAW,O0001,EA
110000000964,ZHAW,O0001,EA
110000000965,ZHAW,O0001,EA
110000000966,ZHAW,O0001,EA
110000000967,ZHAW,C0013,EA
110000000968,ZHAW,O0001,EA
110000000969,ZHAW,O0001,EA
110000000970,ZHAW,O0001,EA
110000000971,ZHAW,O0001,EA
110000000972,ZHAW,O0001,EA
110000000973,ZHAW,O0001,EA
110000000974,ZHAW,O0001,KG
110000000975,ZHAW,O0001,EA
110000000976,ZHAW,P0005,EA
110000000977,ZHAW,P0005,M
110000000978,ZHAW,P0005,EA
110000000979,ZHAW,O0001,EA
110000000980,ZHAW,B0002,EA
110000000981,ZHAW,O0001,EA
110000000982,ZHAW,O0001,KG
110000000983,ZHAW,O0001,EA
110000000984,ZHAW,O0001,EA
110000000985,ZHAW,O0001,EA
110000000986,ZHAW,O0001,EA
110000000987,ZHAW,O0001,EA
110000000988,ZHAW,O0001,EA
110000000989,ZHAW,O0001,EA
110000000990,ZHAW,O0001,EA
110000000991,ZHAW,O0001,EA
110000000992,ZHAW,O0001,EA
110000000993,ZHAW,O0001,EA
110000000994,ZHAW,O0001,FT
110000000995,ZHAW,B0002,EA
110000000996,ZHAW,B0002,EA
110000000997,ZHAW,O0001,EA
110000000998,ZHAW,O0001,EA
110000000999,ZHAW,I0003,EA
110000001001,ZHAW,C0013,EA
110000001002,ZHAW,C0013,EA
110000001003,ZHAW,C0013,EA
110000001004,ZHAW,O0001,EA
110000001005,ZHAW,O0001,EA
110000001006,ZHAW,M0003,EA
110000001007,ZHAW,O0001,EA
110000001008,ZHAW,O0001,L
110000001009,ZHAW,O0001,EA
110000001010,ZHAW,O0001,EA
110000001011,ZHAW,O0001,EA
110000001012,ZHAW,O0001,EA
110000001013,ZHAW,O0001,EA
110000001014,ZHAW,P0009,KG
110000001015,ZHAW,O0001,EA
110000001016,ZHAW,O0001,EA
110000001017,ZHAW,O0001,EA
110000001018,ZHAW,C0013,EA
110000001019,ZHAW,C0013,EA
110000001020,ZHAW,O0001,EA
110000001021,ZHAW,O0001,EA
110000001022,ZHAW,O0001,M
110000001023,ZHAW,O0001,EA
110000001024,ZHAW,O0001,EA
110000001025,ZHAW,M0003,EA
110000001026,ZHAW,M0003,EA
110000001027,ZHAW,I0003,EA
110000001028,ZHAW,B0002,EA
110000001029,ZHAW,O0001,EA
110000001030,ZHAW,C0013,EA
110000001031,ZHAW,O0001,EA
110000001032,ZHAW,M0003,EA
110000001033,ZHAW,M0003,EA
110000001034,ZHAW,C0013,EA
110000001035,ZHAW,C0013,TON
110000001036,ZHAW,C0013,EA
110000001037,ZHAW,O0001,EA
110000001038,ZHAW,B0002,M
110000001039,ZHAW,C0013,M
110000001040,ZHAW,P0005,EA
110000001041,ZHAW,O0001,EA
110000001042,ZHAW,I0003,EA
110000001043,ZHAW,O0001,EA
110000001044,ZHAW,O0001,EA
110000001045,ZHAW,O0001,EA
110000001046,ZHAW,O0001,EA
110000001047,ZHAW,J0005,PC
110000001049,ZHAW,P0004,EA
110000001050,ZHAW,O0001,EA
110000001051,ZHAW,O0001,EA
110000001052,ZHAW,O0001,EA
110000001053,ZHAW,O0001,EA
110000001054,ZHAW,O0001,EA
110000001055,ZHAW,O0001,EA
110000001056,ZHAW,C0013,KG
110000001057,ZHAW,O0001,KG
110000001058,ZHAW,C0013,M
110000001059,ZHAW,O0001,EA
110000001060,ZHAW,E0003,EA
110000001061,ZHAW,C0013,M
110000001062,ZHAW,O0001,PC
110000001063,ZHAW,B0002,PC
110000001064,ZHAW,C0013,EA
110000001065,ZHAW,C0013,EA
110000001066,ZHAW,E0003,EA
110000001067,ZHAW,O0001,EA
110000001068,ZHAW,O0001,M2
110000001069,ZHAW,O0001,EA
110000001070,ZHAW,E0003,EA
110000001071,ZHAW,E0003,EA
110000001072,ZHAW,E0003,M
110000001073,ZHAW,E0003,EA
110000001074,ZHAW,E0003,EA
110000001075,ZHAW,E0003,M
110000001076,ZHAW,E0003,EA
110000001077,ZHAW,J0005,EA
110000001078,ZHAW,C0013,M
110000001079,ZHAW,C0009,EA
110000001080,ZHAW,C0013,M
110000001081,ZHAW,O0001,EA
110000001082,ZHAW,J0005,EA
110000001083,ZHAW,I0003,EA
110000001084,ZHAW,O0001,EA
110000001085,ZHAW,I0003,EA
110000001086,ZHAW,C0013,M
110000001087,ZHAW,C0013,M
110000001088,ZHAW,E0003,EA
110000001089,ZHAW,E0003,EA
110000001090,ZHAW,E0003,EA
110000001091,ZHAW,M0003,EA
110000001092,ZHAW,O0001,EA
110000001093,ZHAW,O0001,EA
110000001094,ZHAW,O0001,EA
110000001095,ZHAW,O0001,EA
110000001096,ZHAW,O0001,EA
110000001097,ZHAW,B0002,EA
110000001098,ZHAW,E0003,EA
110000001099,ZHAW,O0001,EA
110000001100,ZHAW,E0003,EA
110000001101,ZHAW,E0003,EA
110000001102,ZHAW,O0001,EA
110000001103,ZHAW,E0003,EA
110000001104,ZHAW,C0013,EA
110000001105,ZHAW,C0013,EA
110000001106,ZHAW,C0013,EA
110000001107,ZHAW,C0013,EA
110000001108,ZHAW,C0013,EA
110000001109,ZHAW,E0003,EA
110000001110,ZHAW,O0001,FT2
110000001111,ZHAW,O0001,KG
110000001112,ZHAW,B0002,EA
110000001113,ZHAW,C0013,EA
110000001114,ZHAW,C0013,EA
110000001115,ZHAW,O0001,EA
110000001116,ZHAW,O0001,EA
110000001117,ZHAW,O0001,EA
110000001118,ZHAW,O0001,EA
110000001119,ZHAW,E0003,EA
110000001120,ZHAW,E0003,EA
110000001121,ZHAW,E0003,M
110000001122,ZHAW,I0003,EA
110000001123,ZHAW,P0009,EA
110000001124,ZHAW,O0001,EA
110000001125,ZHAW,O0001,EA
110000001126,ZHAW,O0001,EA
110000001127,ZHAW,C0013,EA
110000001128,ZHAW,C0013,M
110000001129,ZHAW,E0003,M
110000001130,ZHAW,C0013,M
110000001131,ZHAW,E0003,M
110000001132,ZHAW,C0013,M
110000001133,ZHAW,C0013,EA
